tweet_id,retweet_count,favorite_count,followers_count
892420643555336193,6854,32831,32831
892177421306343426,5166,28381,28381
891815181378084864,3406,21307,21307
891689557279858688,7063,35791,35791
891327558926688256,7571,34211,34211
891087950875897856,2541,17226,17226
890971913173991426,1615,10042,10042
890729181411237888,15398,55211,55211
890609185150312448,3546,23757,23757
890240255349198849,5961,27088,27088
890006608113172480,6007,26230,26230
889880896479866881,4057,23774,23774
889665388333682689,8169,40810,40810
889638837579907072,3639,22974,22974
889531135344209921,1848,12946,12946
889278841981685760,4345,21391,21391
888917238123831296,3677,24849,24849
888804989199671297,3453,21775,21775
888554962724278272,2830,16811,16811
888078434458587136,2834,18523,18523
887705289381826560,4425,25773,25773
887517139158093824,9602,39415,39415
887473957103951883,14701,58479,58479
887343217045368832,8571,28670,28670
887101392804085760,4872,26102,26102
886983233522544640,6168,29471,29471
886736880519319552,2566,10194,10194
886680336477933568,3658,19116,19116
886366144734445568,2560,17980,17980
886267009285017600,4,101,101
886258384151887873,5150,23791,23791
886054160059072513,90,0,0
885984800019947520,5493,27783,27783
885528943205470208,5213,30644,30644
885518971528720385,3042,17355,17355
885311592912609280,15107,0,0
885167619883638784,3591,18655,18655
884925521741709313,14652,65386,65386
884876753390489601,4562,23639,23639
884562892145688576,3807,20654,20654
884441805382717440,4698,23082,23082
884247878851493888,16564,61715,61715
884162670584377345,2445,17378,17378
883838122936631299,2792,18539,18539
883482846933004288,8076,38938,38938
883360690899218434,3009,19326,19326
883117836046086144,5419,31552,31552
882992080364220416,3177,20368,20368
882762694511734784,4014,24060,24060
882627270321602560,4953,23841,23841
882268110199369728,9379,38119,38119
882045870035918850,3986,24921,24921
881906580714921986,2778,20774,20774
881666595344535552,8735,43165,43165
881633300179243008,8,112,112
881536004380872706,13095,42115,42115
881268444196462592,4364,19794,19794
880935762899988482,2274,14533,14533
880872448815771648,3142,18142,18142
880465832366813184,5103,24298,24298
880221127280381952,3391,22939,22939
880095782870896641,3567,23530,23530
879862464715927552,2862,19094,19094
879674319642796034,9,280,280
879492040517615616,2571,20049,20049
879415818425184262,36598,90240,90240
879376492567855104,2599,14414,14414
879130579576475649,5595,0,0
879050749262655488,3854,19192,19192
879008229531029506,2196,16259,16259
878776093423087618,3352,16553,16553
878604707211726852,5785,25656,25656
878404777348136964,1049,0,0
878316110768087041,5411,0,0
878281511006478336,1049,6571,6571
878057613040115712,5595,35829,35829
877736472329191424,15472,67300,67300
877556246731214848,3089,19280,19280
877316821321428993,4251,23439,23439
877201837425926144,4523,23160,23160
876838120628539392,2743,17645,17645
876537666061221889,3871,20285,20285
876484053909872640,1957,16053,16053
876120275196170240,3826,23890,23890
875747767867523072,3505,21428,21428
875144289856114688,4074,18842,18842
875097192612077568,4980,23464,23464
875021211251597312,3876,21822,21822
874680097055178752,3827,23777,23777
874434818259525634,11970,0,0
874296783580663808,3401,22267,22267
874057562936811520,3297,19392,19392
874012996292530176,8402,29177,29177
873580283840344065,3268,20706,20706
873337748698140672,1301,0,0
873213775632977920,1301,6128,6128
872967104147763200,4462,23341,23341
872820683541237760,3088,12685,12685
872620804844003328,2995,17697,17697
872486979161796608,7493,34916,34916
872122724285648897,6672,29319,29319
871879754684805121,9067,32054,32054
871762521631449091,2908,17321,17321
871515927908634625,2876,17333,17333
871166179821445120,4779,0,0
871102520638267392,4560,17998,17998
871032628920680449,3160,19558,19558
870804317367881728,5162,28880,28880
870726314365509632,3,101,101
870656317836468226,2150,10541,10541
870374049280663552,22050,71194,71194
870308999962521604,3475,18873,18873
870063196459192321,6928,31464,31464
869772420881756160,8450,36677,36677
869702957897576449,5286,24267,24267
869596645499047938,2578,13697,13697
869227993411051520,3135,17584,17584
868880397819494401,11994,56301,56301
868639477480148993,1706,0,0
868622495443632128,4367,22900,22900
868552278524837888,1706,8655,8655
867900495410671616,3493,20940,20940
867774946302451713,6121,29398,29398
867421006826221569,2079,13886,13886
867072653475098625,99,0,0
867051520902168576,6654,27872,27872
866720684873056260,4052,17331,17331
866686824827068416,2906,16634,16634
866450705531457537,29504,105603,105603
866334964761202691,11970,45262,45262
866094527597207552,7019,0,0
865718153858494464,4713,22193,22193
